,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
5,Western League Premier Div.,10,1,4,2,Oldland Abbotonians,,,"1,709",680,711,850,,,917,,"1,187",,"1,364",,"1,521","1,631","1,708",267,,,,
4,Isthmian League South East,19,0,2,2,Phoenix Sport,"4,059","4,345","4,417","4,790","4,829","4,985","5,008","5,042","5,044","5,022","5,390","5,589","5,655",,"5,859","6,030","6,102",375,,,,
5,Essex Senior League ,21,0,4,2,Sporting Bengal United,,,"2,975","3,304","3,358","3,559","3,597",,"3,696","3,780","4,054",,"4,180",,"4,251","4,340","4,389",160,,,,
6,Western League Div. One,17,0,1,2,Brislington,,,"3,075","3,635","4,050","4,456","4,437",,"4,043","4,018","4,389",,"4,506",,"4,650","4,723","4,789",217,,,,
1,National League,1,2,14,1,Gateshead,"28,632","29,116","29,734","32,180","32,300","33,059","33,130","33,169","33,335","33,293","36,044","38,666","38,898","40,113","40,544","42,030","42,811","3,132",,,,
1,National League,2,2,16,1,Dorking Wanderers,"5,586","5,701","5,986","8,028","8,430","9,156","9,261","9,398","9,816","10,200","12,805","17,278","18,212","21,171","23,224","27,416","29,615","9,204",,,,
1,National League,5,2,19,1,York City,"48,997","49,196","49,552","52,342","52,200","52,819","53,028","53,060","53,542","53,767","55,814","59,891","60,662","62,167","62,873","64,050","64,632","3,388",,,,
2,National League North,1,2,11,1,Buxton,"7,564","7,710","8,477","8,864","8,987","9,525","9,677","9,806","10,075","10,111","12,514","13,297","13,519","13,984","14,679","15,212","15,496","1,693",,,,
2,National League North,1,2,17,1,Banbury United,"6,382","6,517","7,010","7,280","7,406","7,641","7,749","8,157","8,206","8,284","9,621","10,282","10,396","11,228","11,515","12,018","12,199","1,622",,,,
2,National League North,2,2,14,1,Peterborough Sports,"2,853","3,033","3,784","4,168","4,305","4,490","4,584","4,671","4,730","4,751","5,701","6,690","6,930","7,550","8,129","8,609","8,776","1,679",,,,
2,National League North,3,2,8,1,Scarborough Athletic,"16,705","16,957","17,619","18,003","18,000","18,353","18,443","18,607","18,621","18,633","19,727","21,355","21,531","22,434","23,188","24,142","24,537","2,611",,,,
2,National League South,1,2,4,1,Worthing,"8,095","8,290","9,011","9,433","9,834","10,037","10,119","10,372","10,425","10,517","11,943","13,103","13,399","14,296","14,656","15,483","16,113","2,084",,,,
2,National League South,1,2,14,1,Taunton Town,"8,590","8,889","9,738","10,378","10,500","10,769","10,868","11,023","11,047","11,270","12,315","13,835","14,036","15,116","16,877","17,947","18,387","3,911",,,,
2,National League South,3,2,12,1,Farnborough,"9,656","9,764","10,407","10,544","10,500","10,680","10,769","11,055","11,096","11,070","11,896","12,720","12,872","13,232","13,860","14,582","14,823","1,710",,,,
3,Isthmian Premier League ,1,2,8,1,Hastings United,"8,185","8,555","8,696","9,672","9,813","10,039","10,130","10,203","10,220","10,236","11,024","11,631","11,727","12,054","12,252","12,527","12,704",800,,,,
3,Isthmian Premier League ,2,2,3,1,Canvey Island,"10,903","11,519","11,645","12,411","12,400","12,669","12,774","13,112","13,211","13,159","13,768","14,393","14,466","14,600","14,636","14,915","15,107",449,,,,
3,Northern Premier Division,1,2,7,1,Ilkeston Town,"12,344","12,470","12,549","13,677","13,700","14,005","14,167","14,517","14,562","14,667","15,437","16,309","16,464","17,006","17,232","17,653","17,788","1,189",,,,
3,Northern Premier Division,1,2,10,1,Rylands,,,"2,820","3,754","3,848","4,262","4,657",,"4,780","5,420","6,879","7,430","7,598","8,224","8,349","8,765","8,907","1,167",,,,
3,Northern Premier Division,2,2,16,1,Marske United ,"7,484","8,550","8,647","9,241","9,321","9,506","9,630","10,091","10,086","10,094","11,517","12,316","12,410","12,726","13,766","14,027","14,133","1,617",,,,
3,Northern Premier Division,4,2,9,1,Marine,"11,940","13,193","13,470","14,877","14,900","15,294","15,382","16,592","54,934","52,354","50,207","50,073","49,970","49,870","49,407","49,483","49,241",-487,,,,
3,Southern Premier Div. South,1,2,2,1,Bracknell Town,"5,657","6,636","6,747","7,925","7,991","8,209","8,347","8,418","8,485","8,531","9,097","9,536","9,606","10,059","11,154","11,576","11,929","1,970",,,,
3,Southern Premier Div. South,1,2,10,1,Plymouth Parkway,"3,446",,"3,665","4,765","5,044","5,494","5,585",,"5,766","5,931","7,242","7,971","8,152","8,845","9,080","9,533","9,691","1,381",,,,
3,Southern Premier Div. South,4,2,14,1,Hanwell Town,"3,396","3,877","3,939","4,586","4,705","4,911","4,973","5,057","6,238","6,908","8,883","20,156","20,233","20,329","20,308","20,900","20,859",667,,,,
3,Southern Premier Div. South,4,2,16,1,Winchester City,"3,615","4,511","4,611","5,146","5,250","5,408","5,490","5,539","5,535","5,565","6,002","6,529","6,602","6,937","7,094","7,311","7,426",709,,,,
4,Isthmian League North,1,2,4,1,Walthamstow,"4,893","5,402","5,724","5,575","5,762","6,171","6,435",,"6,582","6,706","7,628","8,085","8,165",,"8,442","8,763","8,880",598,,,,
4,Isthmian League North,1,2,9,1,New Salamis,,,640,723,794,"1,056",,,"1,095","1,122","1,384","1,676","1,692",,"1,840","1,928","2,135",236,,,,
4,Isthmian League North,1,2,13,1,Gorleston,,,"4,848","5,243","5,317","5,552","5,670",,"5,789","5,847","6,240","6,563","6,605",,"6,865","7,023","7,106",418,,,,
4,Isthmian League North,2,2,10,1,Wroxham,,,"4,964","6,190","6,217","6,497","6,642",,"6,770","6,851","7,487","7,964","8,058",,"8,465","8,659","8,769",601,,,,
4,Isthmian League South Central,1,2,4,1,Hanworth Villa,,,"3,299","3,728","3,791","3,964","4,025",,"4,138","4,379","4,763","5,159","5,232",,"5,516","5,675","5,803",443,,,,
4,Isthmian League South Central,2,2,10,1,Southall,,,"2,325","2,625","2,665","2,841","2,895",,"3,055","3,128","3,403","3,776","3,847",,"4,065","4,120","4,254",273,,,,
