ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks
-5503,-1,-1,-1,-1,-1,-1,0,5,5,5,1,2,0,4,(bb)(1),
10111,1439,34,34,258,14,14,1,-1,1,1,0,0,0,0,a(0)(1450),(uU-dD)/sqrt(2)
10113,1229.5,3.2,3.2,142,9,9,1,1,1,-1,0,0,0,0,b(1)(1235),(uU-dD)/sqrt(2)
10115,1670.6,2.9,1.2,258,8,9,1,-1,-1,1,0,0,0,0,pi(2)(1670),(uU-dD)/sqrt(2)
10211,1439,34,34,258,14,14,1,-1,1,5,2,3,0,0,a(0)(1450),uD
-10211,1439,34,34,258,14,14,1,-1,1,5,2,-3,0,0,a(0)(1450),Ud
10213,1229.5,3.2,3.2,142,9,9,1,1,1,5,2,3,0,0,b(1)(1235),uD
-10213,1229.5,3.2,3.2,142,9,9,1,1,1,5,2,-3,0,0,b(1)(1235),Ud
10215,1670.6,2.9,1.2,258,8,9,1,-1,-1,5,2,3,0,0,pi(2)(1670),uD
-10215,1670.6,2.9,1.2,258,8,9,1,-1,-1,5,2,-3,0,0,pi(2)(1670),Ud
10221,1350,150,150,350,150,150,0,1,1,1,0,0,0,0,f(0)(1370),x(uU+dD)+y(sS)
10223,1166,6,6,375,35,35,0,-1,1,-1,0,0,0,0,h(1)(1170),x(uU+dD)+y(sS)
10225,1617,5,5,181,11,11,0,1,-1,1,0,0,0,0,eta(2)(1645),x(uU+dD)+y(sS)
10311,1430,50,50,270,80,80,2-Jan,5,1,5,1,0,0,0,K(0)*(1430),dS
-10311,1430,50,50,270,80,80,2-Jan,5,1,5,1,0,0,0,K(0)*(1430),Ds
10313,1253,7,7,90,20,20,2-Jan,5,1,5,1,0,0,0,K(1)(1270),dS
-10313,1253,7,7,90,20,20,2-Jan,5,1,5,1,0,0,0,K(1)(1270),Ds
10315,1773,8,8,186,14,14,2-Jan,5,-1,5,1,0,0,0,K(2)(1770),dS
-10315,1773,8,8,186,14,14,2-Jan,5,-1,5,1,0,0,0,K(2)(1770),Ds
10321,1430,50,50,270,80,80,2-Jan,5,1,5,2,3,0,0,K(0)*(1430),uS
-10321,1430,50,50,270,80,80,2-Jan,5,1,5,2,-3,0,0,K(0)*(1430),Us
10323,1253,7,7,90,20,20,2-Jan,5,1,5,2,3,0,0,K(1)(1270),uS
-10323,1253,7,7,90,20,20,2-Jan,5,1,5,2,-3,0,0,K(1)(1270),Us
10325,1773,8,8,186,14,14,2-Jan,5,-1,5,2,3,0,0,K(2)(1770),uS
-10325,1773,8,8,186,14,14,2-Jan,5,-1,5,2,-3,0,0,K(2)(1770),Us
10331,1733,8,7,150,12,10,0,1,1,1,0,0,0,0,f(0)(1710),x(uU+dD)+y(sS)
10333,1409,9,8,78,11,11,?,-1,1,-1,0,0,0,2,h(1)(1415),x(uU+dD)+y(sS)
10335,1842,8,8,225,14,14,0,1,-1,1,0,0,0,2,eta(2)(1870),x(uU+dD)+y(sS)
10411,2343,10,10,229,16,16,2-Jan,5,5,5,2,3,0,2,D(0)*(2300),cD
-10411,2343,10,10,229,16,16,2-Jan,5,5,5,2,-3,0,2,D(0)*(2300),Cd
10413,2422.1,0.6,0.6,31.3,1.9,1.9,2-Jan,5,5,5,2,3,0,2,D(1)(2420),cD
-10413,2422.1,0.6,0.6,31.3,1.9,1.9,2-Jan,5,5,5,2,-3,0,2,D(1)(2420),Cd
10421,2343,10,10,229,16,16,2-Jan,5,1,5,1,0,0,2,D(0)*(2300),cU
-10421,2343,10,10,229,16,16,2-Jan,5,1,5,1,0,0,2,D(0)*(2300),Cu
10423,2422.1,0.6,0.6,31.3,1.9,1.9,2-Jan,5,1,5,1,0,0,0,D(1)(2420),cU
-10423,2422.1,0.6,0.6,31.3,1.9,1.9,2-Jan,5,1,5,1,0,0,0,D(1)(2420),Cu
10431,2317.8,0.5,0.5,10,-1,-1,0,5,1,5,2,3,0,0,D(s0)*(2317),cS
-10431,2317.8,0.5,0.5,10,-1,-1,0,5,1,5,2,-3,0,0,D(s0)*(2317),Cs
10433,2535.11,0.06,0.06,0.92,0.05,0.05,0,5,1,5,2,3,0,0,D(s1)(2536),cS
-10433,2535.11,0.06,0.06,0.92,0.05,0.05,0,5,1,5,2,-3,0,0,D(s1)(2536),Cs
10441,3414.71,0.3,0.3,10.8,0.6,0.6,0,1,1,1,0,0,0,0,chi(c0)(1P),cC
10443,3525.37,0.14,0.14,0.78,0.28,0.28,?,5,1,-1,0,0,0,0,h(c)(1P),cC
10551,9859.4,0.5,0.5,-1,-1,-1,0,1,1,1,0,0,0,0,chi(b0)(1P),bB
10553,9899.3,0.8,0.8,-1,-1,-1,0,5,1,-1,0,0,0,0,h(b)(1P),bB
11112,1860,60,20,250,70,70,2-Mar,5,-1,5,1,-3,3,0,Delta(1900),ddd
-11112,1860,60,20,250,70,70,2-Mar,5,1,5,1,3,3,0,Delta(1900),DDD
11114,1710,20,20,300,80,80,2-Mar,5,-1,5,1,-3,4,1,Delta(1700),ddd
-11114,1710,20,20,300,80,80,2-Mar,5,1,5,1,3,4,1,Delta(1700),DDD
11116,1950,50,50,300,100,100,2-Mar,5,-1,5,1,-3,3,1,Delta(1930),ddd
